salesID,lastSalePrice,lastSaleDate
246,45000.0,1994-06-21T00:00:00.000Z
247,0.0,2021-10-04T00:00:00.000Z
248,244000.0,2001-01-11T00:00:00.000Z
249,232000.0,2019-11-25T00:00:00.000Z
250,0.0,2024-05-01T00:00:00.000Z
251,280000.0,2021-03-02T00:00:00.000Z
252,163080.0,1991-03-01T00:00:00.000Z
253,100000.0,1988-12-29T00:00:00.000Z
254,240000.0,2015-04-10T00:00:00.000Z
255,0.0,2022-10-05T00:00:00.000Z
256,185000.0,2009-07-21T00:00:00.000Z
257,0.0,2005-06-29T00:00:00.000Z
258,218900.0,2008-12-09T00:00:00.000Z
259,18000.0,2020-05-08T00:00:00.000Z
260,210000.0,2002-03-13T00:00:00.000Z
261,171100.0,2005-08-22T00:00:00.000Z
262,298000.0,2020-10-15T00:00:00.000Z
263,0.0,2008-01-22T00:00:00.000Z
264,214731.0,2007-01-23T00:00:00.000Z
265,100000.0,2009-06-12T00:00:00.000Z
266,569864.0,2020-09-14T00:00:00.000Z
267,0.0,2014-03-07T00:00:00.000Z
268,85000.0,2012-08-30T00:00:00.000Z
269,441256.0,2013-04-25T00:00:00.000Z
270,305000.0,2018-09-05T00:00:00.000Z
271,155000.0,2016-06-06T00:00:00.000Z
272,139000.0,2008-08-22T00:00:00.000Z
273,185000.0,2005-06-23T00:00:00.000Z
274,782800.0,2020-05-28T00:00:00.000Z
275,236450.0,2003-09-25T00:00:00.000Z
276,258500.0,2017-05-11T00:00:00.000Z
277,306503.0,2011-01-14T00:00:00.000Z
278,123000.0,2014-08-06T00:00:00.000Z
279,170000.0,2012-08-06T00:00:00.000Z
280,0.0,2003-09-16T00:00:00.000Z
281,0.0,2010-03-15T00:00:00.000Z
282,471000.0,2017-04-26T00:00:00.000Z
283,0.0,2010-08-17T00:00:00.000Z
284,350000.0,2017-07-07T00:00:00.000Z
285,1200.0,2006-11-01T00:00:00.000Z
286,238706.0,1999-03-02T00:00:00.000Z
287,410000.0,2017-12-12T00:00:00.000Z
288,762500.0,2018-07-03T00:00:00.000Z
289,510000.0,2021-05-03T00:00:00.000Z
290,79000.0,2011-01-04T00:00:00.000Z
291,434900.0,2020-09-10T00:00:00.000Z
292,115000.0,2000-09-01T00:00:00.000Z
293,535000.0,2004-07-13T00:00:00.000Z
294,86500.0,2000-03-02T00:00:00.000Z
295,3000.0,2010-10-14T00:00:00.000Z
296,30000.0,1986-07-01T00:00:00.000Z
297,252000.0,2021-05-19T00:00:00.000Z
