featuresID,propertyType,bathrooms,bedrooms,architectureType,cooling,coolingType,exteriorType,fireplace,fireplaceType,floorCount,foundationType,garage,garageType,garageSpaces,heating,heatingType,roofType,roomCount,unitCount,pool,poolType,viewType
278,Single Family,1.5,3.0,Unkown,Unknown,Unknown,Aluminum / Vinyl Siding,True,Unknown,2.0,Unknown,True,Garage,2.0,True,Forced Air,Unknown,11.0,1.0,Unknown,Unknown,Unknown
279,Single Family,1.0,0.0,Unkown,True,Unknown,Aluminum / Vinyl Siding,True,Unknown,1.0,Concrete Block,Unknown,Unknown,0.0,True,Forced Air,Asphalt,5.0,1.0,Unknown,Unknown,Unknown
280,Single Family,2.5,0.0,Unkown,True,Central,Composition,True,Unknown,1.0,Footing,True,Garage,0.0,True,Central,Aluminum,0.0,0.0,Unknown,Unknown,Unknown
281,Manufactured,2.0,0.0,Mobile Home,True,Central,Other,Unknown,Unknown,1.0,Unknown,Unknown,Unknown,0.0,True,Forced Air,Asphalt,0.0,1.0,Unknown,Unknown,Unknown
282,Single Family,0.0,0.0,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,2.0,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,0.0,1.0,Unknown,Unknown,Unknown
283,Single Family,1.5,3.0,Ranch,True,Central,Brick,Unknown,Unknown,1.0,Unknown,Unknown,Unknown,0.0,True,Forced Air,Unknown,6.0,1.0,Unknown,Unknown,Unknown
284,Single Family,2.0,3.0,Unkown,True,Commercial,Stone Veneer,Unknown,Unknown,1.0,Slab / Mat / Raft,True,Carport,0.0,True,Forced Air,Asphalt,6.0,1.0,Unknown,Unknown,Unknown
285,Single Family,2.5,4.0,Colonial,True,Central,Aluminum / Vinyl Siding,True,Unknown,2.0,Unknown,True,Garage,1.0,True,Gas,Unknown,8.0,1.0,Unknown,Unknown,Unknown
286,Single Family,2.0,3.0,Split Entry,True,Commercial,Aluminum / Vinyl Siding,True,Unknown,1.0,Unknown,True,Basement,0.0,True,Hot Water,Asphalt,5.0,1.0,Unknown,Unknown,Unknown
287,Apartment,8.0,8.0,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown
288,Single Family,2.0,3.0,Unkown,True,Central,Brick Veneer,True,Unknown,1.0,OTHER,True,Attached,3.0,True,Central,Composition Shingle,7.0,1.0,Unknown,Unknown,Unknown
289,Condo,2.0,0.0,Condo / Apartment,True,Refrigeration,Stucco,Unknown,Unknown,2.0,Unknown,True,Garage,2.0,True,Forced Air,Built-up (Layered Asphalt),4.0,1.0,Unknown,Unknown,Unknown
290,Single Family,2.5,3.0,Townhouse,True,Commercial,Aluminum / Vinyl Siding,Unknown,Unknown,2.0,Slab / Mat / Raft,Unknown,Unknown,0.0,True,Forced Air,Composition Shingle,6.0,1.0,Unknown,Unknown,Unknown
291,Single Family,3.5,3.0,Condo / Apartment,True,Commercial,Other,True,Unknown,3.0,OTHER,True,Garage,2.0,True,Forced Air,Composition Shingle,7.0,1.0,Unknown,Unknown,Unknown
292,Apartment,2.0,3.0,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown
293,Single Family,1.5,4.0,Conventional,True,Commercial,Brick / Stone,Unknown,Unknown,2.0,Block,True,Detached,0.0,True,Forced Air,Asphalt,7.0,1.0,Unknown,Unknown,Unknown
294,Single Family,4.5,5.0,Modern,True,Central,Unknown,True,Unknown,2.0,Unknown,True,Attached,2.0,True,Central,Tile,6.0,0.0,True,Pool and Hot Tub / Spa,Unknown
295,Single Family,2.5,0.0,Conventional,True,Commercial,Aluminum / Vinyl Siding,True,Unknown,2.0,Unknown,True,Attached Garage,1.0,True,Unknown,Composition Shingle,0.0,1.0,Unknown,Unknown,Unknown
296,Condo,2.0,3.0,Condo / Apartment,Unknown,Unknown,Unknown,Unknown,Unknown,2.0,Unknown,True,Garage,0.0,Unknown,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown
297,Single Family,6.5,5.0,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown
298,Single Family,1.0,2.0,Contemporary,Unknown,Unknown,Asbestos Shingle,Unknown,Unknown,1.0,Slab / Mat / Raft,True,Carport,0.0,True,Floor / Wall,Asphalt,6.0,1.0,Unknown,Unknown,Unknown
299,Single Family,2.5,3.0,Unkown,True,Central,Unknown,True,Masonry,1.0,Raised,True,Attached,1.0,True,Central,Asphalt,10.0,1.0,Unknown,Unknown,Unknown
300,Single Family,2.0,3.0,Unkown,True,Central,Aluminum / Vinyl Siding,True,Prefab,1.0,Unknown,True,Garage,1.0,True,Forced Air,Composition Shingle,0.0,1.0,Unknown,Unknown,Unknown
301,Single Family,2.0,3.0,Unkown,True,Commercial,Stucco,Unknown,Unknown,1.0,Slab / Mat / Raft,True,Attached,0.0,True,Forced Air,Composition Shingle,0.0,1.0,Unknown,Unknown,Unknown
